,compile_version,big_compile_version,path
0,v0.4.24+commit.e67f0147,v0.4,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48_FiatTokenProxy.sol
1,v0.4.19+commit.c4cbbb05,v0.4,c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2_WETH9.sol
2,v0.4.16+commit.d7661dd9,v0.4,2a0c0dbecc7e4d658f48e01e3fa353f44050c208_IDEX1.sol
3,v0.4.16+commit.d7661dd9,v0.4,2a0c0dbecc7e4d658f48e01e3fa353f44050c208_Exchange.sol
4,v0.4.16+commit.d7661dd9,v0.4,514910771af9ca656af840dff83e8264ecf986ca_LinkToken.sol
5,v0.4.11+commit.68ef5810,v0.4,d26114cd6ee289accf82350c8d8487fedb8a0c07_OMGToken.sol
6,v0.4.11+commit.68ef5810,v0.4,0f5d2fb29fb7d3cfee444a200298f468908cc942_MANAToken.sol
7,v0.4.24+commit.e67f0147,v0.4,8fdcc30eda7e94f1c12ce0280df6cd531e8365c5_CpcToken.sol
8,v0.4.16+commit.d7661dd9,v0.4,f230b790e05390fc8295f4d3f60332c93bed42e2_TronToken.sol
9,v0.4.11+commit.68ef5810,v0.4,e41d2489571d322189246dafa5ebde1f4699f498_ZRXToken.sol
10,v0.4.8+commit.60cc1668,v0.4,b64ef51c888972c908cfacf59b47c1afbc0ab8ac_CentrallyIssuedToken.sol
11,v0.4.11+commit.68ef5810,v0.4,a3c1e324ca1ce40db73ed6026c4a177f099b5770_Controller.sol
12,v0.4.24+commit.e67f0147,v0.4,9e9801bace260f58407c15e6e515c45918756e0f_WorldUnitedCoinsToken.sol
13,v0.4.24+commit.e67f0147,v0.4,21ab6c9fac80c59d401b37cb43f81ea9dde7fe34_BRC.sol
14,v0.4.21+commit.dfe3193c,v0.4,4a220e6096b25eadb88358cb44068a3248254675_StandardToken.sol
15,v0.4.23+commit.124ca40d,v0.4,0000000000085d4780B73119b644AE5ecd22b376_OwnedUpgradeabilityProxy.sol
16,v0.4.24+commit.e67f0147,v0.4,ae7ab96520de3a18e5e111b5eaab095312d7fe84_AppProxyUpgradeable.sol
17,v0.4.12+commit.194ff033,v0.4,B8c77482e45F1F44dE1745F52C74426C631bDD52_BNB.sol
18,v0.4.25-nightly.2018.5.23+commit.18c651b7,v0.4,74fd51a98a4a1ecbef8cc43be801cce630e260bd_SiaCashCoin.sol
19,v0.4.23+commit.124ca40d,v0.4,1f0480a66883de97d2b054929252aae8f664c15c_NePay.sol
20,v0.4.8+commit.60cc1668,v0.4,41e5560054824ea6b0732e656e3ad64e20e94e45_CentrallyIssuedToken.sol
21,v0.4.18+commit.9cf6e910,v0.4,58b6a8a3302369daec383334672404ee733ab239_LivepeerToken.sol
22,v0.4.24-nightly.2018.4.25+commit.81cca26f,v0.4,8a88f04e0c905054d2f33b26bb3a46d7091a039a_IG.sol
23,v0.4.24+commit.e67f0147,v0.4,6de037ef9ad2725eb40118bb1702ebb27e4aeb24_AdminUpgradeabilityProxy.sol
24,v0.4.23+commit.124ca40d,v0.4,3495ffcee09012ab7d827abf3e3b3ae428a38443_BecToken.sol
25,v0.4.20+commit.3155dd80,v0.4,aaaebe6fe48e54f431b0c390cfaf0b017d09d42d_CelsiusToken.sol
26,v0.4.11+commit.68ef5810,v0.4,595832f8fc6bf59c85c527fec3740a1b7a361269_PowerLedger.sol
27,v0.4.24+commit.e67f0147,v0.4,e99a894a69d7c2e3c92e61b64c505a6a57d2bc07_Hyperion.sol
28,v0.4.24+commit.e67f0147,v0.4,8971f9fd7196e5cee2c1032b50f656855af7dd26_Lambda.sol
29,v0.4.8+commit.60cc1668,v0.4,4156D3342D5c385a87D264F90653733592000581_Salt.sol
30,v0.4.20+commit.3155dd80,v0.4,d77bcd9cf4212a41defbcd2e2ff0f50fea2be643_GA_chain.sol
31,v0.4.24+commit.e67f0147,v0.4,c9c4d9ec2b44b241361707679d3db0876ac10ca6_POCToken.sol
32,v0.4.16+commit.d7661dd9,v0.4,80fb784b7ed66730e8b1dbd9820afd29931aab03_EthLendToken.sol
33,v0.4.11+commit.68ef5810,v0.4,b5a5f22694352c15b00323844ad545abb2b11028_IcxToken.sol
34,v0.4.11+commit.68ef5810,v0.4,f433089366899d83a9f26a773d59ec7ecf30355e_MetalToken.sol
35,v0.4.24+commit.e67f0147,v0.4,f1ca9cb74685755965c7458528a36934df52a3ef_AVINOCToken.sol
36,v0.4.15+commit.bbb8e64f,v0.4,08f5a9235b08173b7569f83645d2c7fb55e8ccd8_TierionNetworkToken.sol
37,v0.4.22-nightly.2018.3.7+commit.b5e804b8,v0.4,f3586684107ce0859c44aa2b2e0fb8cd8731a15a_KaratBankCoin.sol
38,v0.4.24+commit.e67f0147,v0.4,d1ceeeefa68a6af0a5f6046132d986066c7f9426_Dice2Win.sol
39,v0.4.13+commit.fb4cb1a,v0.4,cb97e65f07da24d46bcdd078ebebd7c6e6e3d750_HumanStandardToken.sol
40,v0.4.16+commit.d7661dd9,v0.4,5ca9a71b1d01849c0a95490cc00559717fcf0d1d_AEToken.sol
41,v0.4.10+commit.f0d539ae,v0.4,9a642d6b3368ddc662CA244bAdf32cDA716005BC_HumanStandardToken.sol
42,v0.4.21+commit.dfe3193c,v0.4,e530441f4f73bdb6dc2fa5af7c3fc5fd551ec838_GSENetwork.sol
43,v0.4.24+commit.e67f0147,v0.4,8e1b448ec7adfc7fa35fc2e885678bd323176e34_EgretiaToken.sol
44,v0.4.16+commit.d7661dd9,v0.4,0000000000b3F879cb30FE243b4Dfee438691c04_GasToken2.sol
45,v0.4.25+commit.59dbf8f1,v0.4,3cc83c2400e00a54fa1e588d62bc28bf15d5def5_OPTCToken.sol
46,v0.4.11+commit.68ef5810,v0.4,b47e3cd837dDF8e4c57F05d70Ab865de6e193BBB_CryptoPunksMarket.sol
47,v0.4.20+commit.3155dd80,v0.4,a4e8c3ec456107ea67d3075bf9e3df3a75823db0_LoomToken.sol
48,v0.4.11+commit.68ef5810,v0.4,b7cb1c96db6b22b0d3d9536e0108d062bd488f74_WaltonToken.sol
49,v0.4.23+commit.124ca40d,v0.4,ff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa_OrbsToken.sol
50,v0.4.11+commit.68ef5810,v0.4,e94327d07fc17907b4db788e5adf2ed424addff6_RepToken.sol
51,v0.4.21+commit.dfe3193c,v0.4,32d74896f05204d1b6ae7b0a3cebd7fc0cd8f9c7_KcashToken.sol
52,v0.4.24+commit.e67f0147,v0.4,df2c7238198ad8b389666574f2d8bc411a4b7428_MainframeToken.sol
53,v0.4.18+commit.9cf6e910,v0.4,9d9223436ddd466fc247e9dbbd20207e640fef58_Token.sol
54,v0.4.24+commit.e67f0147,v0.4,A5e99ad202bDd71D3518306Cf4dD163261981af1_MyAdvancedToken.sol
55,v0.4.24+commit.e67f0147,v0.4,007ac2f589eb9d4fe1cea9f46b5f4f52dab73dd4_SKWToken.sol
56,v0.4.19+commit.c4cbbb05,v0.4,6c8dce6d842e0d9d109dc4c69f35cf8904fc4cbf_EtheremonEnergy.sol
57,v0.4.18+commit.9cf6e910,v0.4,8713d26637cf49e1b6b4a7ce57106aabc9325343_CNNToken.sol
58,v0.4.24+commit.e67f0147,v0.4,c011a72400e58ecd99ee497cf89e3775d4bd732f_Proxy.sol
59,v0.4.24+commit.e67f0147,v0.4,f34839b310097fcb4cf3a302dda8cc9b57501083_SACO.sol
60,v0.4.24+commit.e67f0147,v0.4,ddaaf4a0702a03a4505f2352a1aba001ffc344be_ATCCOIN.sol
61,v0.4.24+commit.e67f0147,v0.4,f1def7f0e620f39531eb352fe13da6825218e7df_BITDINERO.sol
